edges,ilp_gap,ilp_runtime,ilp_sa_gap,ilp_solution_size,ilp_valid,instance,known_solution_size,known_solution_valid,nodes,sa_gap,sa_runtime,sa_solution_size,sa_valid
173,3.3333333333333335,0.9237840175628662,20.689655172413794,29,True,ds_verifier_bremen_subgraph_100,30,True,109,16.666666666666664,0.4287831783294678,35,True
259,2.3255813953488373,0.10856223106384277,23.809523809523807,42,True,ds_verifier_bremen_subgraph_150,43,True,164,20.930232558139537,0.5809469223022461,52,True
48,10.0,0.05271792411804199,0.0,9,True,ds_verifier_bremen_subgraph_20,10,True,32,10.0,0.07347750663757324,9,True
338,1.7241379310344827,1.4254634380340576,19.298245614035086,57,True,ds_verifier_bremen_subgraph_200,58,True,216,17.24137931034483,0.886970043182373,68,True
411,1.3333333333333335,7.523617506027222,24.324324324324326,74,True,ds_verifier_bremen_subgraph_250,75,True,270,22.666666666666664,1.498244285583496,92,True
477,1.1764705882352942,35.05036997795105,23.809523809523807,84,True,ds_verifier_bremen_subgraph_300,85,True,311,22.35294117647059,1.8521523475646973,104,True
98,5.555555555555555,0.04997992515563965,11.76470588235294,17,True,ds_verifier_bremen_subgraph_50,18,True,63,5.555555555555555,0.12941908836364746,19,True
9,33.33333333333333,0.010353565216064453,0.0,2,True,ds_verifier_test,3,True,7,33.33333333333333,0.016083955764770508,2,True
1,33.33333333333333,0.028436660766601562,0.0,2,True,ds_verifier_test_isolated,3,True,3,33.33333333333333,0.026999235153198242,2,True
